name;location;categories;unit;reference product;name ei39;location ei39;ei39 categories;unit ei39;reference product ei39
Particulates, < 2.5 um;;air::low population density, long-term;kilogram;;Particulate Matter, < 2.5 um;;air::low population density, long-term;kilogram;
Particulates, < 2.5 um;;air::non-urban air or from high stacks;kilogram;;Particulate Matter, < 2.5 um;;air::non-urban air or from high stacks;kilogram;
Particulates, < 2.5 um;;air::urban air close to ground;kilogram;;Particulate Matter, < 2.5 um;;air::urban air close to ground;kilogram;
Selenium;;air::low population density, long-term;kilogram;;Selenium IV;;air::low population density, long-term;kilogram;
Selenium;;air::non-urban air or from high stacks;kilogram;;Selenium IV;;air::non-urban air or from high stacks;kilogram;
Selenium;;air::urban air close to ground;kilogram;;Selenium IV;;air::urban air close to ground;kilogram;
Selenium;;air;kilogram;;Selenium IV;;air;kilogram;
Zinc;;air::low population density, long-term;kilogram;;Zinc II;;air::low population density, long-term;kilogram;
Zinc;;air::non-urban air or from high stacks;kilogram;;Zinc II;;air::non-urban air or from high stacks;kilogram;
Zinc;;air::urban air close to ground;kilogram;;Zinc II;;air::urban air close to ground;kilogram;
Zinc;;air;kilogram;;Zinc II;;air;kilogram;
