name;location;categories;unit;reference product;name ei39;location ei39;ei39 categories;unit ei39;reference product ei39
market for neutralising agent, sodium hydroxide-equivalent;RoW;;kilogram;neutralising agent, sodium hydroxide-equivalent;market for neutralising agent, sodium hydroxide-equivalent;GLO;;kilogram;neutralising agent, sodium hydroxide-equivalent
market for polycarbonate;RoW;;kilogram;polycarbonate;market for polycarbonate;GLO;;kilogram;polycarbonate
market for rape seed;RoW;;kilogram;rape seed;market for rape seed;GLO;;kilogram;rape seed
market for soda ash, light;RoW;;kilogram;soda ash, light;market for soda ash, light;GLO;;kilogram;soda ash, light
market for sodium hydroxide, without water, in 50% solution state;RoW;;kilogram;sodium hydroxide, without water, in 50% solution state;market for sodium hydroxide, without water, in 50% solution state;GLO;;kilogram;sodium hydroxide, without water, in 50% solution state
phthalic anhydride production, o-xylene oxidation;RER;;kilogram;phthalic anhydride;phthalic anhydride production;RER;;kilogram;phthalic anhydride
soda ash, light, crystalline, heptahydrate, to generic market for neutralising agent;RoW;;kilogram;neutralising agent, sodium hydroxide-equivalent;soda ash, light, crystalline, heptahydrate, to generic market for neutralising agent;GLO;;kilogram;neutralising agent, sodium hydroxide-equivalent
sodium production, sodium chloride electrolysis, molten salt cell;RER;;kilogram;sodium;sodium chloride electrolysis;RER;;kilogram;sodium
treatment of inert waste, sanitary landfill;RER;;kilogram;inert waste;treatment of inert waste, sanitary landfill;Europe without Switzerland;;kilogram;inert waste
treatment of lead in car shredder residue, municipal incineration FAE;CH;;kilogram;lead in car shredder residue;treatment of lead in car shredder residue, municipal incineration with fly ash extraction;CH;;kilogram;lead in car shredder residue
treatment of municipal solid waste, municipal incineration FAE;CH;;kilogram;municipal solid waste;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;;kilogram;municipal solid waste
treatment of municipal solid waste, municipal incineration FAE;CH;;kilowatt hour;electricity, for reuse in municipal waste incineration only;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;;kilowatt hour;electricity, for reuse in municipal waste incineration only
treatment of residue from shredder fraction from manual dismantling, municipal incineration FAE;CH;;kilogram;residue from shredder fraction from manual dismantling;treatment of residue from shredder fraction from manual dismantling, municipal incineration with fly ash extraction;CH;;kilogram;residue from shredder fraction from manual dismantling
treatment of scrap aluminium, municipal incineration FAE;CH;;kilogram;scrap aluminium;treatment of scrap aluminium, municipal incineration with fly ash extraction;CH;;kilogram;scrap aluminium
treatment of scrap copper, municipal incineration FAE;CH;;kilogram;scrap copper;treatment of scrap copper, municipal incineration with fly ash extraction;CH;;kilogram;scrap copper
treatment of spent anion exchange resin from potable water production, municipal incineration FAE;CH;;kilogram;spent anion exchange resin from potable water production;treatment of spent anion exchange resin from potable water production, municipal incineration with fly ash extraction;CH;;kilogram;spent anion exchange resin from potable water production
treatment of waste glass, municipal incineration FAE;CH;;kilogram;waste glass;treatment of waste glass, municipal incineration with fly ash extraction;CH;;kilogram;waste glass
treatment of waste plastic, mixture, municipal incineration FAE;CH;;kilogram;waste plastic, mixture;treatment of waste plastic, mixture, municipal incineration with fly ash extraction;CH;;kilogram;waste plastic, mixture
treatment of waste polyethylene, municipal incineration FAE;CH;;kilogram;waste polyethylene;treatment of waste polyethylene, municipal incineration with fly ash extraction;CH;;kilogram;waste polyethylene
treatment of waste polypropylene, municipal incineration FAE;CH;;kilogram;waste polypropylene;treatment of waste polypropylene, municipal incineration with fly ash extraction;CH;;kilogram;waste polypropylene
treatment of waste polystyrene, municipal incineration FAE;CH;;kilogram;waste polystyrene;treatment of waste polystyrene, municipal incineration with fly ash extraction;CH;;kilogram;waste polystyrene
treatment of waste polyurethane, municipal incineration FAE;CH;;kilogram;waste polyurethane;treatment of waste polyurethane, municipal incineration with fly ash extraction;CH;;kilogram;waste polyurethane
treatment of waste polyvinylchloride, municipal incineration FAE;CH;;kilogram;waste polyvinylchloride;treatment of waste polyvinylchloride, municipal incineration with fly ash extraction;CH;;kilogram;waste polyvinylchloride
treatment of waste wood, untreated, municipal incineration FAE;CH;;kilogram;waste wood, untreated;treatment of waste wood, untreated, municipal incineration with fly ash extraction;CH;;kilogram;waste wood, untreated
treatment of wood ash mixture, pure, municipal incineration FAE;CH;;kilogram;wood ash mixture, pure;treatment of wood ash mixture, pure, municipal incineration with fly ash extraction;CH;;kilogram;wood ash mixture, pure
treatment of zinc in car shredder residue, municipal incineration FAE;CH;;kilogram;zinc in car shredder residue;treatment of zinc in car shredder residue, municipal incineration with fly ash extraction;CH;;kilogram;zinc in car shredder residue
